Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/94455376,94455376,Calculate Client Security Hash,WI5,Open,2021-06-26
,https://acme-test.uipath.com/work-items/94455512,94455512,Verify Account Position,WI1,Open,2020-12-28
,https://acme-test.uipath.com/work-items/94455377,94455377,Calculate Client Security Hash,WI5,Open,2022-12-11
,https://acme-test.uipath.com/work-items/94455533,94455533,Verify Account Position,WI1,Open,2023-03-03
,https://acme-test.uipath.com/work-items/94455490,94455490,Research Client Check Copy,WI2,Open,2021-06-06
,https://acme-test.uipath.com/work-items/94455536,94455536,Verify Account Position,WI1,Open,2019-01-12
,https://acme-test.uipath.com/work-items/94455482,94455482,Research Client Check Copy,WI2,Open,2022-09-22
,https://acme-test.uipath.com/work-items/94455467,94455467,Process Vendor Invoice,WI3,Open,2022-07-07
,https://acme-test.uipath.com/work-items/94455471,94455471,Process Vendor Invoice,WI3,Open,2019-05-09
,https://acme-test.uipath.com/work-items/94455426,94455426,Generate Yearly Report for Vendor,WI4,Open,2021-12-17
,https://acme-test.uipath.com/work-items/94455515,94455515,Verify Account Position,WI1,Open,2021-04-24
,https://acme-test.uipath.com/work-items/94455474,94455474,Process Vendor Invoice,WI3,Open,2019-12-28
,https://acme-test.uipath.com/work-items/94455424,94455424,Generate Yearly Report for Vendor,WI4,Open,2022-04-18
,https://acme-test.uipath.com/work-items/94455488,94455488,Research Client Check Copy,WI2,Open,2017-07-28
,https://acme-test.uipath.com/work-items/94455379,94455379,Calculate Client Security Hash,WI5,Open,2017-05-08
,https://acme-test.uipath.com/work-items/94455531,94455531,Verify Account Position,WI1,Open,2022-01-10
,https://acme-test.uipath.com/work-items/94455461,94455461,Process Vendor Invoice,WI3,Open,2021-10-11
,https://acme-test.uipath.com/work-items/94455499,94455499,Research Client Check Copy,WI2,Open,2019-09-23
,https://acme-test.uipath.com/work-items/94455469,94455469,Process Vendor Invoice,WI3,Open,2020-12-16
,https://acme-test.uipath.com/work-items/94455433,94455433,Generate Yearly Report for Vendor,WI4,Open,2019-12-08
,https://acme-test.uipath.com/work-items/94455503,94455503,Research Client Check Copy,WI2,Open,2021-11-25
,https://acme-test.uipath.com/work-items/94455381,94455381,Calculate Client Security Hash,WI5,Open,2020-04-10
,https://acme-test.uipath.com/work-items/94455521,94455521,Verify Account Position,WI1,Open,2017-04-08
,https://acme-test.uipath.com/work-items/94455462,94455462,Process Vendor Invoice,WI3,Open,2022-03-18
,https://acme-test.uipath.com/work-items/94455496,94455496,Research Client Check Copy,WI2,Open,2020-06-19
,https://acme-test.uipath.com/work-items/94455486,94455486,Research Client Check Copy,WI2,Open,2019-05-14
,https://acme-test.uipath.com/work-items/94455372,94455372,Calculate Client Security Hash,WI5,Open,2022-03-05
,https://acme-test.uipath.com/work-items/94455494,94455494,Research Client Check Copy,WI2,Open,2022-12-06
,https://acme-test.uipath.com/work-items/94455375,94455375,Calculate Client Security Hash,WI5,Open,2019-11-28
,https://acme-test.uipath.com/work-items/94455373,94455373,Calculate Client Security Hash,WI5,Open,2018-05-18
,https://acme-test.uipath.com/work-items/94455500,94455500,Research Client Check Copy,WI2,Open,2023-04-18
,https://acme-test.uipath.com/work-items/94455502,94455502,Research Client Check Copy,WI2,Open,2019-09-12
,https://acme-test.uipath.com/work-items/94455516,94455516,Verify Account Position,WI1,Open,2020-11-22
,https://acme-test.uipath.com/work-items/94455523,94455523,Verify Account Position,WI1,Open,2020-03-26
,https://acme-test.uipath.com/work-items/94455504,94455504,Research Client Check Copy,WI2,Open,2022-01-18
,https://acme-test.uipath.com/work-items/94455463,94455463,Process Vendor Invoice,WI3,Open,2023-03-28
,https://acme-test.uipath.com/work-items/94455478,94455478,Research Client Check Copy,WI2,Open,2019-05-20
,https://acme-test.uipath.com/work-items/94455528,94455528,Verify Account Position,WI1,Open,2021-02-10
,https://acme-test.uipath.com/work-items/94455425,94455425,Generate Yearly Report for Vendor,WI4,Open,2020-12-07
,https://acme-test.uipath.com/work-items/94455517,94455517,Verify Account Position,WI1,Open,2022-01-12
,https://acme-test.uipath.com/work-items/94455538,94455538,Verify Account Position,WI1,Open,2018-09-15
,https://acme-test.uipath.com/work-items/94455384,94455384,Calculate Client Security Hash,WI5,Open,2022-08-17
,https://acme-test.uipath.com/work-items/94455485,94455485,Research Client Check Copy,WI2,Open,2021-02-26
,https://acme-test.uipath.com/work-items/94455506,94455506,Research Client Check Copy,WI2,Open,2018-01-28
,https://acme-test.uipath.com/work-items/94455423,94455423,Generate Yearly Report for Vendor,WI4,Open,2021-08-20
,https://acme-test.uipath.com/work-items/94455514,94455514,Verify Account Position,WI1,Open,2018-08-25
,https://acme-test.uipath.com/work-items/94455511,94455511,Verify Account Position,WI1,Open,2023-04-05
,https://acme-test.uipath.com/work-items/94455374,94455374,Calculate Client Security Hash,WI5,Open,2018-07-16
,https://acme-test.uipath.com/work-items/94455422,94455422,Generate Yearly Report for Vendor,WI4,Open,2019-04-26
,https://acme-test.uipath.com/work-items/94455527,94455527,Verify Account Position,WI1,Open,2021-05-10
,https://acme-test.uipath.com/work-items/94455427,94455427,Generate Yearly Report for Vendor,WI4,Open,2017-12-02
,https://acme-test.uipath.com/work-items/94455505,94455505,Research Client Check Copy,WI2,Open,2021-09-18
,https://acme-test.uipath.com/work-items/94455431,94455431,Generate Yearly Report for Vendor,WI4,Open,2020-01-11
,https://acme-test.uipath.com/work-items/94455530,94455530,Verify Account Position,WI1,Open,2019-05-23
,https://acme-test.uipath.com/work-items/94455509,94455509,Verify Account Position,WI1,Open,2019-01-30
,https://acme-test.uipath.com/work-items/94455432,94455432,Generate Yearly Report for Vendor,WI4,Open,2019-04-26
,https://acme-test.uipath.com/work-items/94455495,94455495,Research Client Check Copy,WI2,Open,2018-05-17
,https://acme-test.uipath.com/work-items/94455493,94455493,Research Client Check Copy,WI2,Open,2018-12-15
,https://acme-test.uipath.com/work-items/94455539,94455539,Verify Account Position,WI1,Open,2023-01-26
,https://acme-test.uipath.com/work-items/94455428,94455428,Generate Yearly Report for Vendor,WI4,Open,2019-06-10
,https://acme-test.uipath.com/work-items/94455430,94455430,Generate Yearly Report for Vendor,WI4,Open,2021-08-17
,https://acme-test.uipath.com/work-items/94455510,94455510,Verify Account Position,WI1,Open,2022-06-25
,https://acme-test.uipath.com/work-items/94455378,94455378,Calculate Client Security Hash,WI5,Open,2023-04-19
,https://acme-test.uipath.com/work-items/94455420,94455420,Generate Yearly Report for Vendor,WI4,Open,2020-07-04
,https://acme-test.uipath.com/work-items/94455483,94455483,Research Client Check Copy,WI2,Open,2017-11-19
,https://acme-test.uipath.com/work-items/94455421,94455421,Generate Yearly Report for Vendor,WI4,Open,2017-10-15
,https://acme-test.uipath.com/work-items/94455534,94455534,Verify Account Position,WI1,Open,2020-11-19
,https://acme-test.uipath.com/work-items/94455522,94455522,Verify Account Position,WI1,Open,2017-01-02
,https://acme-test.uipath.com/work-items/94455477,94455477,Research Client Check Copy,WI2,Open,2020-05-07
,https://acme-test.uipath.com/work-items/94455468,94455468,Process Vendor Invoice,WI3,Open,2018-03-15
,https://acme-test.uipath.com/work-items/94455383,94455383,Calculate Client Security Hash,WI5,Open,2020-06-28
,https://acme-test.uipath.com/work-items/94455466,94455466,Process Vendor Invoice,WI3,Open,2018-03-17
,https://acme-test.uipath.com/work-items/94455382,94455382,Calculate Client Security Hash,WI5,Open,2021-04-03
,https://acme-test.uipath.com/work-items/94455524,94455524,Verify Account Position,WI1,Open,2017-09-10
,https://acme-test.uipath.com/work-items/94455479,94455479,Research Client Check Copy,WI2,Open,2017-10-16
,https://acme-test.uipath.com/work-items/94455464,94455464,Process Vendor Invoice,WI3,Open,2020-03-04
,https://acme-test.uipath.com/work-items/94455491,94455491,Research Client Check Copy,WI2,Open,2019-01-16
,https://acme-test.uipath.com/work-items/94455520,94455520,Verify Account Position,WI1,Open,2019-05-05
